Municipio,Clase,Centro poblado,Viviendas ocupadas,Hogares,Personas,Hombre,Mujer
Santa Marta,Cabecera municipal,Santa Marta DTCH,119828,122481,439052,211467,227585
Santa Marta,Centro Poblado,Bonda,2775,2796,10181,4889,5292
Santa Marta,Centro Poblado,Calabazo,268,276,1123,565,558
Santa Marta,Centro Poblado,Don Diego,253,254,984,513,471
Santa Marta,Centro Poblado,Guachaca,621,630,2373,1180,1193
Santa Marta,Centro Poblado,Minca,179,185,713,366,347
Santa Marta,Centro Poblado,Taganga,1276,1314,4661,2381,2280
Santa Marta,Centro Poblado,Buritaca,188,188,752,375,377
Santa Marta,Centro Poblado,La Quinina,78,80,298,153,145
Santa Marta,Centro Poblado,Tigrera,55,56,186,101,85
Santa Marta,Centro Poblado,Cabañas de Buritaca,114,114,455,219,236
Santa Marta,Centro Poblado,Cañaveral (Agua Fría),57,58,225,115,110
Santa Marta,Centro Poblado,Curvalito,44,51,174,82,92
Santa Marta,Centro Poblado,Guacoche (La Llanta),67,67,270,151,119
Santa Marta,Centro Poblado,Marketalia (Palomino),220,225,878,447,431
Santa Marta,Centro Poblado,Paz Del Caribe,200,201,829,436,393
Santa Marta,Centro Poblado,Perico Aguao,60,61,202,115,87
Santa Marta,Centro Poblado,La Revuelta,120,122,442,216,226
Santa Marta,Centro Poblado,El Trompito,70,71,233,124,109
Santa Marta,Centro Poblado,La Aguacatera,36,36,145,74,71
Santa Marta,Centro Poblado,Machete Pelao,47,47,189,99,90
Santa Marta,Centro Poblado,Nuevo Mejico,39,39,149,82,67
Santa Marta,Centro Poblado,Valle de Gaira,89,90,352,164,188
Santa Marta,Centro Poblado,Linderos,60,60,221,120,101
Santa Marta,Centro Poblado,Los Cocos,20,20,75,42,33
Santa Marta,Centro Poblado,Mendihuaca,21,21,70,37,33
Santa Marta,Centro Poblado,Quebrada Valencia,30,30,100,50,50
Santa Marta,Centro Poblado,San Tropel,13,13,56,33,23
Santa Marta,Centro Poblado,Los Naranjos,27,27,72,37,35
Santa Marta,Centro Poblado,Nuevo Horizonte (San Rafael),52,54,184,98,86
Santa Marta,Rural Disperso,Santa Marta DTCH,3430,3460,14209,7609,6600
Algarrobo,Cabecera municipal,Algarrobo,2254,2611,9546,4891,4655
Algarrobo,Centro Poblado,Bella Vista,114,115,467,239,228
Algarrobo,Centro Poblado,Estación del Ferrocarril,93,102,434,209,225
Algarrobo,Centro Poblado,Estación Lleras,66,75,290,151,139
Algarrobo,Centro Poblado,Loma del Bálsamo,478,492,2006,1050,956
Algarrobo,Centro Poblado,Riomar,64,64,236,123,113
Algarrobo,Rural Disperso,Algarrobo,310,326,1315,765,550
Aracataca,Cabecera municipal,Aracataca,5626,6456,22620,11239,11381
